,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
14,4.0,2.0,0.591459998194,59.46875,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625
15,5.0,0.0,0.17907364538104598,-23.765625,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625
16,5.0,1.0,0.2192479430279423,11.9828125,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125
17,5.0,2.0,0.6016784115910118,52.84375,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625
18,6.0,0.0,0.1721937813074628,-25.859375,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875
19,6.0,1.0,0.21895578448154052,8.7765625,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625
20,6.0,2.0,0.6088504342109968,55.890625,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625
21,7.0,0.0,0.1671784223102857,-52.1875,-19.9375,-28.078125,-26.234375,-4.21875,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875,-144.671875
22,7.0,1.0,0.21929846038584408,8.4171875,10.315625,12.890625,8.5375,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125
23,7.0,2.0,0.6135231173038701,66.6875,63.6875,61.828125,60.765625,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625,53.984375
